cueanexo	provincia	departamento	localidad	nombre	ambito	sector_de_gestion	primaria	p_lengua_debajo_basico	p_lengua_basico	p_lengua_satisfactorio	p_lengua_avanzado	lon	lat
020213900	Ciudad de Buenos Aires	Comuna 8	CIUDAD DE BUENOS AIRES	MAESTRO EDUARDO LUIS VICENTE	Urbano	Estatal	1	5.87972031	25.48251757	39.2167832	29.42097892	-58.4588	-34.6853
020214100	Ciudad de Buenos Aires	Comuna 8	CIUDAD DE BUENOS AIRES	MAESTRO CARLOS ALBERTO CARRANZA	Urbano	Estatal	1	22.838051	31.64308216	31.56446458	13.95440226	-58.449	-34.6623
020214300	Ciudad de Buenos Aires	Comuna 8	CIUDAD DE BUENOS AIRES	INSTITUTO NACIONES UNIDAS	Urbano	Privado	1	0	0	42.85714286	57.14285714	-58.4851	-34.6623
020217800	Ciudad de Buenos Aires	Comuna 14	CIUDAD DE BUENOS AIRES	COLEGIO BETH	Urbano	Privado	1	0	12.24376717	40.33241022	47.42382261	-58.4248	-34.5835
020219600	Ciudad de Buenos Aires	Comuna 13	CIUDAD DE BUENOS AIRES	COLEGIO EVANGELICO BUENOS AIRES	Urbano	Privado	1	4.347826087	4.347826087	26.08695652	65.2173913	-58.4614	-34.5612
020221400	Ciudad de Buenos Aires	Comuna 3	CIUDAD DE BUENOS AIRES	PROYECTO SUR	Urbano	Privado	1	0	0	15.38461538	84.61538462	-58.3971	-34.6118
020221700	Ciudad de Buenos Aires	Comuna 7	CIUDAD DE BUENOS AIRES	INSTITUTO COREANO ARGENTINO	Urbano	Privado	1	9.090909091	18.18181818	45.45454545	27.27272727	-58.4497	-34.6393
020224400	Ciudad de Buenos Aires	Comuna 11	CIUDAD DE BUENOS AIRES	INSTITUTO SAN ANTONIO DE DEVOTO	Urbano	Privado	1	0	12.5	18.75	68.75	-58.5084	-34.6015
020224600	Ciudad de Buenos Aires	Comuna 7	CIUDAD DE BUENOS AIRES	NUEVA ESCUELA DE EDUCACION LA OBRA	Urbano	Privado	1	2.567394171	12.81771496	35.91142522	48.70346565	-58.4621	-34.6253
020227400	Ciudad de Buenos Aires	Comuna 8	CIUDAD DE BUENOS AIRES	GUILLERMO JOSE BARROS	Urbano	Estatal	1	7.602339213	37.28930162	37.04850347	18.0598557	-58.4486	-34.6603
020227800	Ciudad de Buenos Aires	Comuna 4	CIUDAD DE BUENOS AIRES	JUANA AZURDUY	Urbano	Estatal	1	0	48.09927335	41.45656791	10.44415874	-58.4325	-34.6463
020227900	Ciudad de Buenos Aires	Comuna 4	CIUDAD DE BUENOS AIRES	HORACIO QUIROGA	Urbano	Estatal	1	24.49148244	29.97484641	37.75380495	7.779866199	-58.3971	-34.6525
020228400	Ciudad de Buenos Aires	Comuna 15	CIUDAD DE BUENOS AIRES	SANTA TERESA DE LOS ANDES	Urbano	Privado	1	0	15.78947368	57.89473684	26.31578947	-58.4541	-34.5818
020236200	Ciudad de Buenos Aires	Comuna 11	CIUDAD DE BUENOS AIRES	INSTITUTO PRIVADO LA ESCUELA DE HILEL	Urbano	Privado	1	12.5	0	12.5	75	-58.4879	-34.6078
020237400	Ciudad de Buenos Aires	Comuna 10	CIUDAD DE BUENOS AIRES	GIRASOLES ESCUELA ACTIVA	Urbano	Privado	1	0	0	40.90909091	59.09090909	-58.5058	-34.6318
020240900	Ciudad de Buenos Aires	Comuna 14	CIUDAD DE BUENOS AIRES	COLEGIO REY FAHD	Urbano	Privado	1	0	9.090909091	27.27272727	63.63636364	-58.4253	-34.574
020246500	Ciudad de Buenos Aires	Comuna 8	CIUDAD DE BUENOS AIRES	ESC. PRIMARIA N° 23 RENE FAVALORO DE 19	Urbano	Estatal	1	31.31147538	16.33879781	31.53005466	20.81967215	-58.4396	-34.655
020251100	Ciudad de Buenos Aires	Comuna 15	CIUDAD DE BUENOS AIRES	INT.CREA-CONVIVENCIAS RECREA LA EDUC.ARG	Urbano	Privado	1	0	0	22.22222222	77.77777778	-58.4986	-34.5952
020274800	Ciudad de Buenos Aires	Comuna 7	CIUDAD DE BUENOS AIRES	ESCUELA INTEGRAL CASA DE MOISES	Urbano	Privado	1	0	5.587892794	38.82421441	55.58789279	-58.4739	-34.6233
020279300	Ciudad de Buenos Aires	Comuna 4	CIUDAD DE BUENOS AIRES	INSTITUTO NUESTRA SEÑORA DE LOS MILAGROS DE CAACUPE	Urbano	Privado	1	7.448979564	45.10204087	32.44897956	15	-58.3967	-34.6562
020281000	Ciudad de Buenos Aires	Comuna 8	CIUDAD DE BUENOS AIRES	HERMANOS LATINOAMERICANOS	Urbano	Estatal	1	11.7203403	25.51881617	45.08116309	17.67968043	-58.4671	-34.6767
020282400	Ciudad de Buenos Aires	Comuna 15	CIUDAD DE BUENOS AIRES	INST. PRIVADO INTEGRAL AARON ANGEL	Urbano	Privado	1	11.11111111	11.11111111	55.55555556	22.22222222	-58.4388	-34.5953
020282500	Ciudad de Buenos Aires	Comuna 7	CIUDAD DE BUENOS AIRES	INST. PARROQ.STA.MA. MADRE DEL PUEBLO	Urbano	Privado	1	5.263157895	42.10526316	47.36842105	5.263157895	-58.4472	-34.6483
020282700	Ciudad de Buenos Aires	Comuna 4	CIUDAD DE BUENOS AIRES	INST. DE FORMACION Y EDUCACION INTEGRAL	Urbano	Privado	1	62.96296296	29.62962963	3.703703704	3.703703704	-58.3995	-34.6287
020292900	Ciudad de Buenos Aires	Comuna 12	CIUDAD DE BUENOS AIRES	INST. RAICES	Urbano	Privado	1	0	6.666666667	40	53.33333333	-58.4923	-34.5832
020294300	Ciudad de Buenos Aires	Comuna 4	CIUDAD DE BUENOS AIRES	ESC. PRIMARIA N° 28 DE 05	Urbano	Estatal	1	8.187134477	29.53216381	43.27485379	19.00584792	-58.4056	-34.6414
020294400	Ciudad de Buenos Aires	Comuna 2	CIUDAD DE BUENOS AIRES	NUEVO GUIDO SPANO	Urbano	Privado	1	12.5	12.5	31.25	43.75	-58.4131	-34.5944
020298900	Ciudad de Buenos Aires	Comuna 8	CIUDAD DE BUENOS AIRES	ESC. PRIMARIA N° 24 DE 19	Urbano	Estatal	1	11.78766606	23.73145991	47.77517541	16.70569861	-58.4505	-34.6629
020301000	Ciudad de Buenos Aires	Comuna 8	CIUDAD DE BUENOS AIRES	INST. NTRA SRA. DEL CARMEN	Urbano	Privado	1	13.65369945	27.3073989	43.17315028	15.86575138	-58.4927	-34.6672
020304200	Ciudad de Buenos Aires	Comuna 11	CIUDAD DE BUENOS AIRES	ESCUELA LIBRE MICAEL	Urbano	Privado	1	0	6.666666667	33.33333333	60	-58.4824	-34.6172
020304600	Ciudad de Buenos Aires	Comuna 6	CIUDAD DE BUENOS AIRES	INST. EDUCATIVO FERROCARRIL OESTE	Urbano	Privado	1	0	30.76923077	53.84615385	15.38461538	-58.4456	-34.6179
020307600	Ciudad de Buenos Aires	Comuna 4	CIUDAD DE BUENOS AIRES	CRUZ DEL SUR	Urbano	Privado	1	6.25	6.25	50	37.5	-58.3815	-34.6517
020307900	Ciudad de Buenos Aires	Comuna 8	CIUDAD DE BUENOS AIRES	ESC. PRIMARIA N° 7 DE 21	Urbano	Estatal	1	10	10	55	25	-58.4668	-34.6771
020308000	Ciudad de Buenos Aires	Comuna 8	CIUDAD DE BUENOS AIRES	ESC. PRIMARIA N° 11 DE 21	Urbano	Estatal	1	7.12059064	7.358490544	46.67760458	38.84331423	-58.4607	-34.6726
020309300	Ciudad de Buenos Aires	Comuna 1	CIUDAD DE BUENOS AIRES	ESC. PRIMARIA N° 11 DE 01	Urbano	Estatal	1	29.62962963	18.51851852	37.03703704	14.81481481	-58.3783	-34.5821
020309600	Ciudad de Buenos Aires	Comuna 9	CIUDAD DE BUENOS AIRES	ESC. PRIMARIA N°23 DE 20	Urbano	Estatal	1	9.303275328	18.6269702	39.56954946	32.50020502	-58.4988	-34.6594
020312700	Ciudad de Buenos Aires	Comuna 8	CIUDAD DE BUENOS AIRES	ESC. PRIMARIA N° 24 DE 20	Urbano	Estatal	1	14.73850234	26.67718151	38.06132084	20.52299531	-58.4927	-34.6754
020312800	Ciudad de Buenos Aires	Comuna 4	CIUDAD DE BUENOS AIRES	ESC. PRIMARIA N° 05 DE 05	Urbano	Estatal	1	22.72727273	36.36363636	27.27272727	13.63636364	-58.4069	-34.656
020312900	Ciudad de Buenos Aires	Comuna 8	CIUDAD DE BUENOS AIRES	ESC. PRIMARIA N°12  DE 21	Urbano	Estatal	1	8.322033944	22.54237291	33.58474574	35.55084741	-58.4545	-34.6753
020318500	Ciudad de Buenos Aires	Comuna 4	CIUDAD DE BUENOS AIRES	ESCUELA PRIMARA N°21 DE 05	Urbano	Estatal	1	5.896103899	30.12987013	33.84415585	30.12987013	-58.4139	-34.645
029003000	Ciudad de Buenos Aires	Comuna 6	CIUDAD DE BUENOS AIRES	INST. SOCIAL MILITAR DR. DAMASO CENTENO	Urbano	Estatal	1	21.42726474	1.633522591	25.98725847	50.9519542	-58.4435	-34.6217
060000200	Buenos Aires	AZUL	AZUL	ESCUELA DE EDUCACIÓN PRIMARIA N°2 DOMINGO FAUSTINO SARMIENTO	Urbano	Estatal	1	16.71525745	28.27988388	35.86005806	19.14480061	-59.8618	-36.7751
060000300	Buenos Aires	LA MATANZA	GREGORIO DE LAFERRERE	INSTITUTO PEDRO B. PALACIOS	Urbano	Privado	1	1.908867012	11.60714278	40.36330052	46.12068969	-58.5847	-34.7346
060000400	Buenos Aires	LA MATANZA	GREGORIO DE LAFERRERE	INSTITUTO JUANA DE IBARBOUROU	Urbano	Privado	1	2.463997652	14.08894521	37.56860071	45.87845643	-58.5996	-34.7551
060000700	Buenos Aires	MORON	MORON	INSTITUTO SAN JOSÉ	Urbano	Privado	1	3.781512529	6.512604677	24.88235288	64.82352991	-58.6229	-34.6518
060000900	Buenos Aires	MORON	CASTELAR	PEDRO BONIFACIO PALACIOS ALMAFUERTE	Urbano	Privado	1	0	2.941176427	18.16608996	78.89273361	-58.6324	-34.6522
060001000	Buenos Aires	MORON	CASTELAR	COLEGIO CREAR Y SER	Urbano	Privado	1	0	3.826530305	23.97959207	72.19387762	-58.635	-34.6526
060001300	Buenos Aires	HURLINGHAM	HURLINGHAM	ESCUELA DE EDUCACIÓN PRIMARIA N°10 SIR ALEXANDER FLEMING	Urbano	Estatal	1	5.499999842	20.64285717	38.53571441	35.32142858	-58.6302	-34.6054
060001500	Buenos Aires	HURLINGHAM	HURLINGHAM	ESCUELA DE EDUCACIÓN PRIMARIA N°22 MARTÍN FIERRO	Urbano	Estatal	1	8.442981966	16.04147427	24.43059539	51.08494838	-58.6321	-34.6007
